timestamp,timestamp,h,prediction,actual
2017-02-24 00:00:00,2017-02-24 00:00:00,t+1,0.3054919794201851,0.12396887159533074
2017-02-25 00:00:00,2017-02-25 00:00:00,t+1,0.8560141834616661,0.28926070038910506
2017-02-26 00:00:00,2017-02-26 00:00:00,t+1,0.44761290997266767,0.09642023346303503
2017-02-27 00:00:00,2017-02-27 00:00:00,t+1,0.2580394305288792,0.08264591439688716
2017-02-28 00:00:00,2017-02-28 00:00:00,t+1,0.5064781299233436,0.6336186770428015
2017-03-01 00:00:00,2017-03-01 00:00:00,t+1,0.616851881146431,0.5371984435797665
2017-03-02 00:00:00,2017-03-02 00:00:00,t+1,0.6203024768829346,0.5647470817120622
2017-03-03 00:00:00,2017-03-03 00:00:00,t+1,0.4077573528885841,0.7300389105058366
2017-03-04 00:00:00,2017-03-04 00:00:00,t+1,0.8589300513267517,0.9091050583657588
2017-03-05 00:00:00,2017-03-05 00:00:00,t+1,0.5682420739531517,0.5922957198443579
2017-03-06 00:00:00,2017-03-06 00:00:00,t+1,0.7898556804656982,0.5922957198443579
2017-03-07 00:00:00,2017-03-07 00:00:00,t+1,0.8773517087101936,0.33058365758754865
2017-03-08 00:00:00,2017-03-08 00:00:00,t+1,0.4245851393043995,0.1377431906614786
2017-03-09 00:00:00,2017-03-09 00:00:00,t+1,0.4777746847271919,0.7575875486381324
2017-03-10 00:00:00,2017-03-10 00:00:00,t+1,0.47128172636032106,0.11019455252918288
2017-03-11 00:00:00,2017-03-11 00:00:00,t+1,0.37625680670142175,0.1377431906614786
2017-03-12 00:00:00,2017-03-12 00:00:00,t+1,0.5502021691203117,0.31680933852140075
2017-03-13 00:00:00,2017-03-13 00:00:00,t+1,0.692775590121746,0.37190661478599224
2017-03-14 00:00:00,2017-03-14 00:00:00,t+1,0.3049932271242142,0.37190661478599224
2017-03-15 00:00:00,2017-03-15 00:00:00,t+1,0.2835866256058216,0.2754863813229572
2017-03-16 00:00:00,2017-03-16 00:00:00,t+1,0.1852649822831154,0.12396887159533074
2017-03-17 00:00:00,2017-03-17 00:00:00,t+1,0.38271247074007986,0.5785214007782101
2017-03-18 00:00:00,2017-03-18 00:00:00,t+1,0.47306030184030534,0.5647470817120622
2017-03-19 00:00:00,2017-03-19 00:00:00,t+1,0.3278209429979324,0.15151750972762645
2017-03-20 00:00:00,2017-03-20 00:00:00,t+1,0.2639991644024849,0.1377431906614786
2017-03-21 00:00:00,2017-03-21 00:00:00,t+1,0.20782708816230297,0.12396887159533074
2017-03-22 00:00:00,2017-03-22 00:00:00,t+1,0.7005946862697601,0.2066147859922179
2017-03-23 00:00:00,2017-03-23 00:00:00,t+1,0.8694516411423683,0.1377431906614786
2017-03-24 00:00:00,2017-03-24 00:00:00,t+1,0.40685548424720763,0.33058365758754865
2017-03-25 00:00:00,2017-03-25 00:00:00,t+1,0.5338435158133507,0.12396887159533074
2017-03-26 00:00:00,2017-03-26 00:00:00,t+1,0.32344437181949615,0.3994552529182879
2017-03-27 00:00:00,2017-03-27 00:00:00,t+1,0.9948073732852936,1.570272373540856
2017-03-28 00:00:00,2017-03-28 00:00:00,t+1,0.9701922726631165,1.1845914396887158
2017-03-29 00:00:00,2017-03-29 00:00:00,t+1,0.5404800599813461,0.5509727626459144
2017-03-30 00:00:00,2017-03-30 00:00:00,t+1,0.6338733923435211,0.12396887159533074
2017-03-31 00:00:00,2017-03-31 00:00:00,t+1,0.4446112704277039,0.1377431906614786
2017-04-01 00:00:00,2017-04-01 00:00:00,t+1,0.26939083233475686,0.24793774319066147
2017-04-02 00:00:00,2017-04-02 00:00:00,t+1,0.30679854691028596,0.15151750972762645
2017-04-03 00:00:00,2017-04-03 00:00:00,t+1,0.2612708495557308,0.1377431906614786
2017-04-04 00:00:00,2017-04-04 00:00:00,t+1,0.17845230549573898,0.1377431906614786
2017-04-05 00:00:00,2017-04-05 00:00:00,t+1,0.1756936329603195,0.11019455252918288
